Individual,Assemblage,Femur_Left,Femur_Right
CCS_2004,Christ Church Spitalfields,,CCS_2004_Femur_R
CCS_2011,Christ Church Spitalfields,CCS_2011_Femur_L,CCS_2011_Femur_R
CCS_2022,Christ Church Spitalfields,,
CCS_2063,Christ Church Spitalfields,,CCS_2063_Femur_R
CCS_2070,Christ Church Spitalfields,,
CCS_2111,Christ Church Spitalfields,,CCS_2111_Femur_R
CCS_2152,Christ Church Spitalfields,,CCS_2152_Femur_R
CCS_2155,Christ Church Spitalfields,,CCS_2155_Femur_R
CCS_2162,Christ Church Spitalfields,CCS_2162_Femur_L,
CCS_2173,Christ Church Spitalfields,,CCS_2173_Femur_R
CCS_2182,Christ Church Spitalfields,,CCS_2182_Femur_R
CCS_2185,Christ Church Spitalfields,,CCS_2185_Femur_R
CCS_2189,Christ Church Spitalfields,,CCS_2189_Femur_R
CCS_2203,Christ Church Spitalfields,,CCS_2203_Femur_R
CCS_2205,Christ Church Spitalfields,,CCS_2205_Femur_R
BG_150,Black Gate,BG_150_Femur_L,BG_150_Femur_R
BG_155,Black Gate,BG_155_Femur_L,BG_155_Femur_R
BG_170,Black Gate,BG_170_Femur_L,BG_170_Femur_R
BG_204,Black Gate,BG_204_Femur_L,BG_204_Femur_R
BG_482,Black Gate,BG_482_Femur_L,BG_482_Femur_R
WS09_317,WS09,WS09_317_Femur_L,WS09_317_Femur_R
WS09_324,WS09,WS09_324_Femur_L,WS09_324_Femur_R
WS09_325,WS09,WS09_325_Femur_L,WS09_325_Femur_R
WS09_381,WS09,WS09_381_Femur_L,WS09_381_Femur_R
WS09_456,WS09,WS09_456_Femur_L,WS09_456_Femur_R
WS09_581,WS09,WS09_581_Femur_L,WS09_581_Femur_R
WS09_595,WS09,WS09_595_Femur_L,WS09_595_Femur_R
AUC_GT9,Agia Triada Thebes,AUC_GT9-12_Femur_L,AUC_GT9-14_Femur_R
AUC_GT14,Agia Triada Thebes,,
AUC_1,Agia Triada Thebes,AUC_1-2_Femur_L,
AUC_2,Agia Triada Thebes,AUC_2-10_Femur_L,AUC_2-9_Femur_R
AUC_ET15,Agia Triada Thebes,AUC_ET15-9_Femur_L,
KA_T13,Kerkira_Almiros,KA_T13-12_Femur_L,KA_T13-13_Femur_R
KA_T34,Kerkira_Almiros,KA_T34-9_Femur_L,KA_T34-10_Femur_R
KA_T57,Kerkira_Almiros,KA_T57-2_Femur_L,KA_T57-3_Femur_R
KA_T11,Kerkira_Almiros,KA_T11-6_Femur_L,KA_T11-7_Femur_R
KA_T56,Kerkira_Almiros,KA_T56-19_Femur_L,KA_T56-20_Femur_R
AKMI_T7,Arxaia Korinthos,AKMI_T7-1_Femur_L,AKMI_T7-2_Femur_R
AKS_T12,Arxaia Korinthos,AKS_T12-1_Femur_L,AKMI_T12-2_Femur_R
AKP_T57,Arxaia Korinthos,,AKP_T57-1_Femur_R
AKP_T81,Arxaia Korinthos,,AKP_T81-3_Femur_R
AKP_T82,Arxaia Korinthos,AKP_T82-23_Femur_L,AKP_T82-20_Femur_R
AKP_T84,Arxaia Korinthos,,AKP_T84-16_Femur_R
AKP_T88,Arxaia Korinthos,AKP_T88-1_Femur_L,
AKP_T98,Arxaia Korinthos,AKP_T98-1_Femur_L,
AKP_T102,Arxaia Korinthos,,AKP_T102-3_Femur_R
ATE_ThT11,Agia Triada Hleias,ATE_ThT11-53_Femur_L,
ET2,Edessa,ET2-427_Femur_L,ET2-428_Femur_R
ET4A,Edessa,,ET4A-758_Femur_R
ET4b,Edessa,,ET4b-598_Femur_R
ET10,Edessa,,ET10-529_Femur_R
ET15,Edessa,,ET15-397_Femur_R
ET16,Edessa,,ET16-717_Femur_R
ET24,Edessa,ET24-629_Femur_L,ET24-630_Femur_R
ET33B,Edessa,,ET33B-495_Femur_R
ET35,Edessa,ET35-84_Femur_L,ET35-85_Femur_R
ET36BN,Edessa,,
Mauropigi_40,Mauropigi,,Mauropigi_40_Femur_R
Mauropigi_73,Mauropigi,Mauropigi_73_Femur_L,Mauropigi_73_Femur_R
Mauropigi_80,Mauropigi,Mauropigi_80_Femur_L,
Mauropigi_98,Mauropigi,,Mauropigi_98_Femur_R
Mauropigi_113,Mauropigi,Mauropigi_113_Femur_L,
Mauropigi_119,Mauropigi,Mauropigi_119_Femur_L,Mauropigi_119_Femur_R
Mauropigi_125,Mauropigi,,
Mauropigi_126,Mauropigi,,Mauropigi_126_Femur_R
Mauropigi_159,Mauropigi,,Mauropigi_159_Femur_R
Mauropigi_187,Mauropigi,Mauropigi_187_Femur_L,Mauropigi_187_Femur_R
Mauropigi_241,Mauropigi,Mauropigi_241_Femur_L,Mauropigi_241_Femur_R
Mauropigi_244,Mauropigi,Mauropigi_244_Femur_L,Mauropigi_244_Femur_R
Mauropigi_253,Mauropigi,Mauropigi_253_Femur_L,
Mauropigi_271,Mauropigi,,
Mauropigi_277,Mauropigi,,Mauropigi_277_Femur_R
Mauropigi_281,Mauropigi,,Mauropigi_281_Femur_R
Mauropigi_285,Mauropigi,Mauropigi_285_Femur_L,Mauropigi_285_Femur_R
Mauropigi_293,Mauropigi,Mauropigi_293_Femur_L,Mauropigi_293_Femur_R
Mauropigi_300,Mauropigi,,Mauropigi_300_Femur_R
Mauropigi_314,Mauropigi,Mauropigi_314_Femur_L,
Mauropigi_318,Mauropigi,Mauropigi_318_Femur_L,Mauropigi_318_Femur_R
Mauropigi_339,Mauropigi,Mauropigi_339_Femur_L,Mauropigi_339_Femur_R
Mauropigi_403,Mauropigi,Mauropigi_403_Femur_L,
,,,
,,,
AUC_ET15,Box 20,,
