Left Side,Right Side,Score
AUC_GT3-136_Humerus_L,nan,nan
ET15-388_Humerus_L,nan,nan
ET35-76_Humerus_L,nan,nan
ET4b-589_Humerus_L,nan,nan
Mauropigi_293_Humerus_L,nan,nan
Mauropigi_403_Humerus_L,nan,nan
Mauropigi_73_Humerus_L,nan,nan
nan,AKP_T102-6_Humerus_R,nan
nan,AUC_Dad-4_Humerus_R,nan
nan,AUC_ET22-3_Humerus_R,nan
nan,AUC_GT14-3_Humerus_R,nan
nan,AUC_GT3-129_Humerus_R,nan
nan,AUC_GT4-7_Humerus_R,nan
nan,AUC_GT8-7_Humerus_R,nan
nan,ET15-389_Humerus_R,nan
nan,ET27-555_Humerus_R,nan
nan,ET4b-590_Humerus_R,nan
nan,KG_T10-39_Humerus_R,nan
nan,Mauropigi_159_Humerus_R,nan
nan,Mauropigi_318_Humerus_R,nan
nan,Mauropigi_73_Humerus_R,nan
nan,Mauropigi_80_Humerus_R,nan
AUC_GT2-9_Humerus_L,AUC_GT2-10_Humerus_R,13.5969868914038
Mauropigi_98_Humerus_L,Mauropigi_98_Humerus_R,50.5186874006359
Mauropigi_113_Humerus_L,Mauropigi_113_Humerus_R,35.5359534682746
AUC_BT5-4_Humerus_L,AUC_BT5-3_Humerus_R,41.1644774520411
Mauropigi_339_Humerus_L,Mauropigi_339_Humerus_R,20.4253142890994
Mauropigi_271_Humerus_L,Mauropigi_271_Humerus_R,21.4120808745111
Mauropigi_119_Humerus_L,Mauropigi_119_Humerus_R,34.2180976298213
Mauropigi_397_Humerus_L,Mauropigi_397_Humerus_R,25.5000992993285
ET16-707_Humerus_L,ET16-708_Humerus_R,26.3290542705224
AKP_T59-44_Humerus_L,AKP_T59-48_Humerus_R,27.5461477659996
AKP_T82-17_Humerus_L,AKP_T82-16_Humerus_R,28.5700825439106
KA_T13-5_Humerus_L,KA_T13-6_Humerus_R,29.157333347776
