Individual,Assemblage,Tibia_Left,Tibia_Right
CCS_2004,Christ Church Spitalfields,CCS_2004_Tibia_L,CCS_2004_Tibia_R
CCS_2011,Christ Church Spitalfields,CCS_2011_Tibia_L,CCS_2011_Tibia_R
CCS_2022,Christ Church Spitalfields,,CCS_2022_Tibia_R
CCS_2063,Christ Church Spitalfields,CCS_2063_Tibia_L,CCS_2063_Tibia_R
CCS_2070,Christ Church Spitalfields,CCS_2070_Tibia_L,CCS_2070_Tibia_R
CCS_2111,Christ Church Spitalfields,CCS_2111_Tibia_L,CCS_2111_Tibia_R
CCS_2152,Christ Church Spitalfields,CCS_2152_Tibia_L,CCS_2152_Tibia_R
CCS_2155,Christ Church Spitalfields,CCS_2155_Tibia_L,CCS_2155_Tibia_R
CCS_2162,Christ Church Spitalfields,CCS_2162_Tibia_L,CCS_2162_Tibia_R
CCS_2173,Christ Church Spitalfields,CCS_2173_Tibia_L,
CCS_2182,Christ Church Spitalfields,CCS_2182_Tibia_L,CCS_2182_Tibia_R
CCS_2185,Christ Church Spitalfields,CCS_2185_Tibia_L,CCS_2185_Tibia_R
CCS_2189,Christ Church Spitalfields,CCS_2189_Tibia_L,CCS_2189_Tibia_R
CCS_2203,Christ Church Spitalfields,CCS_2203_Tibia_L,CCS_2203_Tibia_R
CCS_2205,Christ Church Spitalfields,CCS_2205_Tibia_L,CCS_2205_Tibia_R
BG_150,Black Gate,BG_150_Tibia_L,BG_150_Tibia_R
BG_155,Black Gate,BG_155_Tibia_L,BG_155_Tibia_R
BG_170,Black Gate,BG_170_Tibia_L,BG_170_Tibia_R
BG_204,Black Gate,BG_204_Tibia_L,BG_204_Tibia_R
BG_482,Black Gate,BG_482_Tibia_L,BG_482_Tibia_R
WS09_317,WS09,WS09_317_Tibia_L,WS09_317_Tibia_R
WS09_324,WS09,WS09_324_Tibia_L,WS09_324_Tibia_R
WS09_325,WS09,WS09_325_Tibia_L,WS09_325_Tibia_R
WS09_381,WS09,WS09_381_Tibia_L,WS09_381_Tibia_R
WS09_456,WS09,WS09_456_Tibia_L,WS09_456_Tibia_R
WS09_581,WS09,WS09_581_Tibia_L,WS09_581_Tibia_R
WS09_595,WS09,WS09_595_Tibia_L,WS09_595_Tibia_R
AUC_BT5,Agia Triada Thebes,,
AUC_GT2,Agia Triada Thebes,,
AUC_GT3,Agia Triada Thebes,,
AUC_GT4,Agia Triada Thebes,,
AUC_GT8,Agia Triada Thebes,,
AUC_GT9,Agia Triada Thebes,AUC_GT9-11_Tibia_L,AUC_GT9-13_Tibia_R
AUC_GT14,Agia Triada Thebes,,AUC_GT14-2_Tibia_R
AUC_1,Agia Triada Thebes,AUC_1-1_Tibia_L,AUC_1-3_Tibia_R
AUC_2,Agia Triada Thebes,AUC_2-12_Tibia_L,AUC_2-11_Tibia_R
AUC_Dad,Agia Triada Thebes,,
AUC_ET15,Agia Triada Thebes,AUC_ET15-8_Tibia_L,AUC_ET15-7_Tibia_R
AUC_ET16,Agia Triada Thebes,,
AUC_ET22,Agia Triada Thebes,,
KA_T13,Kerkira_Almiros,,
KA_T34,Kerkira_Almiros,,KA_T34-11_Tibia_R
KA_T57,Kerkira_Almiros,KA_T57-4_Tibia_L,KA_T57-5_Tibia_R
KA_T11,Kerkira_Almiros,,KA_T11-9_Tibia_R
KA_T56,Kerkira_Almiros,KA_T56-21_Tibia_L,KA_T56-22_Tibia_R
KG_T10,Kerkira_Garitsa,,
AKMI_T7,Arxaia Korinthos,AKMI_T7-4_Tibia_L,AKMI_T7-3_Tibia_R
AKS_T12,Arxaia Korinthos,,AKS_T12-3_Tibia_R
AKP_T57,Arxaia Korinthos,AKP_T57-5_Tibia_L,AKP_T57-4_Tibia_R
AKP_T59,Arxaia Korinthos,,
AKP_T81,Arxaia Korinthos,AKP_T81-2_Tibia_L,AKP_T81-1_Tibia_R
AKP_T82,Arxaia Korinthos,AKP_T82-22_Tibia_L,AKP_T82-19_Tibia_R
AKP_T84,Arxaia Korinthos,AKP_T84-57_Tibia_L,AKP_T84-51_Tibia_R
AKP_T88,Arxaia Korinthos,AKP_T88-4_Tibia_L,AKP_T88-2_Tibia_R
AKP_T98,Arxaia Korinthos,AKP_T98-5_Tibia_L,AKP_T98-4_Tibia_R
AKP_T102,Arxaia Korinthos,AKP_T102-8_Tibia_L,AKP_T102-7_Tibia_R
ATE_ThT11,Agia Triada Hleias,ATE_ThT11-56_Tibia_L,ATE_ThT11-48_Tibia_R
ET2,Edessa,ET2-429_Tibia_L,ET2-430_Tibia_R
ET4A,Edessa,ET4A-759_Tibia_L,
ET4b,Edessa,ET4b-599_Tibia_L,ET4b-600_Tibia_R
ET10,Edessa,ET10-530_Tibia_L,ET10-531_Tibia_R
ET15,Edessa,ET15-398_Tibia_L,ET15-399_Tibia_R
ET16,Edessa,ET16-718_Tibia_L,ET16-719_Tibia_R
ET24,Edessa,,
ET27,Edessa,,
ET33B,Edessa,,
ET35,Edessa,ET35-86_Tibia_L,ET35-87_Tibia_R
ET36BN,Edessa,,ET36BN-259_Tibia_R
ET38,Edessa,,
Mauropigi_40,Mauropigi,,Mauropigi_40_Tibia_R
Mauropigi_73,Mauropigi,Mauropigi_73_Tibia_L,
Mauropigi_80,Mauropigi,Mauropigi_80_Tibia_L,Mauropigi_80_Tibia_R
Mauropigi_98,Mauropigi,Mauropigi_98_Tibia_L,Mauropigi_98_Tibia_R
Mauropigi_113,Mauropigi,,Mauropigi_113_Tibia_R
Mauropigi_119,Mauropigi,Mauropigi_119_Tibia_L,Mauropigi_119_Tibia_R
Mauropigi_125,Mauropigi,Mauropigi_125_Tibia_L,Mauropigi_125_Tibia_R
Mauropigi_126,Mauropigi,,Mauropigi_126_Tibia_R
Mauropigi_159,Mauropigi,Mauropigi_159_Tibia_L,
Mauropigi_187,Mauropigi,,
Mauropigi_241,Mauropigi,,Mauropigi_241_Tibia_R
Mauropigi_244,Mauropigi,,
Mauropigi_253,Mauropigi,Mauropigi_253_Tibia_L,Mauropigi_253_Tibia_R
Mauropigi_271,Mauropigi,,Mauropigi_271_Tibia_R
Mauropigi_277,Mauropigi,,Mauropigi_277_Tibia_R
Mauropigi_281,Mauropigi,Mauropigi_281_Tibia_L,Mauropigi_281_Tibia_R
Mauropigi_285,Mauropigi,,Mauropigi_285_Tibia_R
Mauropigi_293,Mauropigi,Mauropigi_293_Tibia_L,Mauropigi_293_Tibia_R
Mauropigi_300,Mauropigi,,Mauropigi_300_Tibia_R
Mauropigi_311,Mauropigi,,
Mauropigi_314,Mauropigi,,
Mauropigi_318,Mauropigi,Mauropigi_318_Tibia_L,Mauropigi_318_Tibia_R
Mauropigi_339,Mauropigi,Mauropigi_339_Tibia_L,
Mauropigi_343,Mauropigi,,
Mauropigi_397,Mauropigi,,
Mauropigi_403,Mauropigi,Mauropigi_403_Tibia_L,Mauropigi_403_Tibia_R
,,,
,,,
AUC_ET15,Box 20,,
